idx,left_context,link_title,link_text,right_context,url,mention_in_page
2122,Пий обявявайки го за престолонаследник,1204,,г Папа Инокентий III изпраща,,25 февруари
2123,за престолонаследник 1204 г Папа,Инокентий III,,изпраща в България кардинал Лъв,,25 февруари
2124,Папа Инокентий III изпраща в,България,,кардинал Лъв който да коронова,,25 февруари
2125,Инокентий III изпраща в България,кардинал,,Лъв който да коронова за,,25 февруари
2126,III изпраща в България кардинал,Лъв (кардинал),Лъв,който да коронова за крал,,25 февруари
2127,да коронова за крал цар,Калоян,,и да издигне като единствен,,25 февруари
2128,да издигне като единствен православен,Примас,,архиепископ Василий 1836 г Самюъл,,25 февруари
2129,издигне като единствен православен Примас,архиепископ,,Василий 1836 г Самюъл Колт,,25 февруари
2130,като единствен православен Примас архиепископ,Василий (архиепископ),Василий,1836 г Самюъл Колт получава,,25 февруари
2131,единствен православен Примас архиепископ Василий,1836,,г Самюъл Колт получава патент,,25 февруари
2132,Примас архиепископ Василий 1836 г,Самюъл Колт,,получава патент за въртящо се,,25 февруари
2133,се оръжие наречено по късно,револвер,,1848 г Във Франция е,,25 февруари
2134,оръжие наречено по късно револвер,1848,,г Във Франция е провъзгласена,,25 февруари
2135,ият ден в годината според,Григориански календар,григорианския календар,Остават 308 дни до края,,26 февруари
2136,края на годината 309 през,високосна година,високосна,Събития мини 120px Първият български,,26 февруари
2137,годината 309 през високосна Събития,"Файл:BASA-1735K-1-184-1-First Bulgarian Orchestra, 1851.jpeg",мини|120px|Първият български оркестър. Източник: ДА „Архиви“,364 г Валентиниан I става,,26 февруари
2138,български оркестър Източник ДА Архиви,364,,г Валентиниан I става римски,,26 февруари
2139,Източник ДА Архиви 364 г,Валентиниан I,,става римски император 1616 г,,26 февруари
2140,364 г Валентиниан I става,Римска империя,римски император,1616 г На Галилео Галилей,,26 февруари
2141,Валентиниан I става римски император,1616,,г На Галилео Галилей е,,26 февруари
2142,римски император 1616 г На,Галилео Галилей,,е забранено да преподава астрономията,,26 февруари
2143,Галилей е забранено да преподава,астрономия,,а на Николай Коперник като,,26 февруари
2144,забранено да преподава астрономията на,Николай Коперник,,като противоречаща на тълкуването на,,26 февруари
2145,като противоречаща на тълкуването на,Свето писание,Светото писание,1815 г Наполеон Бонапарт извършва,,26 февруари
2146,на тълкуването на Светото писание,1815,,г Наполеон Бонапарт извършва бягство,,26 февруари
2147,на Светото писание 1815 г,Наполеон Бонапарт,,извършва бягство от остров Елба,,26 февруари
2148,Наполеон Бонапарт извършва бягство от,остров,,Елба след което се насочва,,26 февруари
2149,Бонапарт извършва бягство от остров,Елба (остров),Елба,след което се насочва с,,26 февруари
2150,се насочва с привърженици към,Париж,,с намерение да завземе властта,,26 февруари
2151,с намерение да завземе властта,1851,,г В Шумен е основан,,26 февруари
2152,завземе властта 1851 г В,Шумен,,е основан първият български оркестър,,26 февруари
2153,български оркестър негов ръководител е,Михай Шафран,,1899 г Константин Иречек публикува,,26 февруари
2154,негов ръководител е Михай Шафран,1899,,г Константин Иречек публикува статия,,26 февруари
2155,ият ден в годината според,Григориански календар,григорианския календар,Остават 307 дни до края,,27 февруари
2156,края на годината 308 през,високосна година,високосна,Събития 1531 г Осем немски,,27 февруари
2157,годината 308 през високосна Събития,1531,,г Осем немски князе и,,27 февруари
2158,Осем немски князе и 11,град,,сформират Лига в защита на,,27 февруари
2159,в защита на учението на,Мартин Лутер,,1551 г Иван Грозни открива,,27 февруари
2160,на учението на Мартин Лутер,1551,,г Иван Грозни открива Стоглавия,,27 февруари
2161,на Мартин Лутер 1551 г,Иван Грозни,,открива Стоглавия събор ограничаващ правата,,27 февруари
2162,събор ограничаващ правата на духовенството,1599,,г Джордано Бруно е преместен,,27 февруари
2163,правата на духовенството 1599 г,Джордано Бруно,,е преместен от Венеция в,,27 февруари
2164,Джордано Бруно е преместен от,Венеция,,в съда в Рим 1687,,27 февруари
2165,от Венеция в съда в,Рим,,1687 г Управляващият Япония Цунаеши,,27 февруари
2166,Венеция в съда в Рим,1687,,г Управляващият Япония Цунаеши забранява,,27 февруари
2167,в Рим 1687 г Управляващият,Япония,,Цунаеши забранява на поданиците си,,27 февруари
2168,на поданиците си консумацията на,риба,,стриди и птици 1795 г,,27 февруари
2169,на риба стриди и птици,1795,,г Правителството на Франция обявява,,27 февруари
2170,стриди и птици 1795 г,Правителство,,о на Франция обявява временно,,27 февруари
2171,птици 1795 г Правителството на,Франция,,обявява временно затваряне на театрите,,27 февруари
2172,обявява временно затваряне на театрите,1814,,г Състои се премиерата на,,27 февруари
2173,се премиерата на 8 ата,симфония,,на Бетховен 1825 г Публикувана,,27 февруари
2174,на 8 ата симфония на,Бетховен,,1825 г Публикувана е първата,,27 февруари
2175,ият ден в годината според,Григориански календар,григорианския календар,Остават 306 дни до края,,28 февруари
2176,края на годината 307 през,високосна година,високосна,Вижте също 29 февруари и,,28 февруари
2177,307 през високосна Вижте също,29 февруари,,и 30 февруари Събития 364,,28 февруари
2178,Вижте също 29 февруари и,30 февруари,,Събития 364 г Валентиниан I,,28 февруари
2179,февруари и 30 февруари Събития,364,,г Валентиниан I е избран,,28 февруари
2180,30 февруари Събития 364 г,Валентиниан I,,е избран за римски император,,28 февруари
2181,Валентиниан I е избран за,римски император,,1799 г Официално е утвърден,,28 февруари
2182,е избран за римски император,1799,,г Официално е утвърден като,,28 февруари
2183,г Официално е утвърден като,град,,Бърлингтън Масачузетс 1813 г Битка,,28 февруари
2184,Официално е утвърден като град,Бърлингтън (Масачузетс),,1813 г Битка при Лайпциг,,28 февруари
2185,утвърден като град Бърлингтън Масачузетс,1813,,г Битка при Лайпциг В,,28 февруари
2186,град Бърлингтън Масачузетс 1813 г,Битка при Лайпциг,,В Калиш е сключен съюз,,28 февруари
2187,г Битка при Лайпциг В,Калиш,,е сключен съюз между Русия,,28 февруари
2188,Калиш е сключен съюз между,Русия,,и Прусия насочен срещу Франция,,28 февруари
2189,сключен съюз между Русия и,Прусия,,насочен срещу Франция 1838 г,,28 февруари
2190,Русия и Прусия насочен срещу,Франция,,1838 г Обявена е независимостта,,28 февруари
2191,и Прусия насочен срещу Франция,1838,,г Обявена е независимостта на,,28 февруари
2192,Франция 1838 г Обявена е,независимост,,а на Долна Френска Канада,,28 февруари
2193,на Долна Френска Канада дн,Квебек,,1838 г Създаден е окръг,,28 февруари
2194,1838 г Създаден е окръг,"Пойнсет (окръг, Арканзас)",Пойнсет,в щата Арканзас САЩ 1839,,28 февруари
2195,ият ден в годината според,Григориански календар,григорианския календар,появявайки се в годините които,,29 февруари
2196,400 Такива години се наричат,високосна година,високосни,До края на годината остават,,29 февруари
2197,остават 306 дни Тъй като,Земята,,обикаля около Слънцето за 365,,29 февруари
2198,Тъй като Земята обикаля около,Слънцето,,за 365 2422 дни веднъж,,29 февруари
2199,да бъде компенсирана разликата в,Юлианския календар,юлианския,и григорианския календари този допълнителен,,29 февруари
2200,компенсирана разликата в юлианския и,Григорианския календар,григорианския,календари този допълнителен ден се,,29 февруари
2201,дни и годината се нарича,Високосна година,високосна,Но прибавяйки всяка четвърта година,,29 февруари
2202,се натрупват Това означава че,високосна година,високосни години,са 2000 и 2400 но,,29 февруари
2203,означава че високосни години са,2000,,и 2400 но не и,,29 февруари
2204,и 2400 но не и,1900,,2100 2200 и 2300 дясно,,29 февруари
2205,1900 2100 2200 и 2300,Файл:29 February 2020 calendar.jpg,дясно|мини|Годината [[2020]] е високосна.,Събития мини 200px Пощенска картичка,,29 февруари
2206,Годината 2020 е високосна Събития,Файл:PostcardLeapYearBeCarefulClara1908.jpg,"мини|200px|Пощенска картичка по случай високосния 29 февруари 1908 г. С надпис: „През 1908 / Бъди внимателна, Клара, че този е добър екземпляр!“",1288 г В Шотландия се,,29 февруари
2207,че този е добър екземпляр,1288,,г В Шотландия се приема,,29 февруари
2208,добър екземпляр 1288 г В,Шотландия,,се приема закон според който,,29 февруари
2209,г В Шотландия се приема,закон,,според който на 29 февруари,,29 февруари
2210,да предложи брак на мъж,1712,,г В Швеция този ден,,29 февруари
2211,на мъж 1712 г В,Швеция,,този ден е последван от,,29 февруари
2212,този ден е последван от,30 февруари,,преди държавата да възстанови Юлианския,,29 февруари
2213,февруари преди държавата да възстанови,Юлиански календар,Юлианския календар,1720 г Шведската кралица Улрика,,29 февруари
2214,държавата да възстанови Юлианския календар,1720,,г Шведската кралица Улрика Елеонора,,29 февруари
2215,тият ден в годината според,Григориански календар,григорианския календар,65 и през високосна година,,5 март
2216,григорианския календар 65 и през,високосна година,,Остават 301 дни до края,,5 март
2217,до края на годината Събития,1558,,г Испански мореплаватели донасят в,,5 март
2218,на годината Събития 1558 г,Испания,Испански,мореплаватели донасят в Европа тютюна,,5 март
2219,г Испански мореплаватели донасят в,Европа,,тютюна за пушене 1684 г,,5 март
2220,Испански мореплаватели донасят в Европа,тютюн,,за пушене 1684 г Австрия,,5 март
2221,донасят в Европа тютюна за,пушене,,1684 г Австрия Полша Венеция,,5 март
2222,в Европа тютюна за пушене,1684,,г Австрия Полша Венеция и,,5 март
2223,тютюна за пушене 1684 г,Австрия,,Полша Венеция и Русия създават,,5 март
2224,за пушене 1684 г Австрия,Полша,,Венеция и Русия създават Свещена,,5 март
2225,пушене 1684 г Австрия Полша,Венеция,,и Русия създават Свещена лига,,5 март
2226,г Австрия Полша Венеция и,Русия,,създават Свещена лига за борба,,5 март
2227,Полша Венеция и Русия създават,Свещена лига (1684),Свещена лига,за борба срещу Османската империя,,5 март
2228,Свещена лига за борба срещу,Османска империя,Османската империя,1792 г Революционното правителство във,,5 март
2229,за борба срещу Османската империя,1792,,г Революционното правителство във Франция,,5 март
2230,Османската империя 1792 г Революционното,правителство,,във Франция затваря Сорбоната и,,5 март
2231,1792 г Революционното правителство във,Франция,,затваря Сорбоната и всички теологически,,5 март
2232,Революционното правителство във Франция затваря,Сорбона,,а и всички теологически факултети,,5 март
2233,Франция затваря Сорбоната и всички,теология,теологически,факултети в страната 1821 г,,5 март
2234,затваря Сорбоната и всички теологически,факултет,,в страната 1821 г Джеймс,,5 март
2235,ият ден в годината според,Григориански календар,григорианския календар,66 и през високосна година,,6 март
2236,григорианския календар 66 и през,високосна година,,Остават 300 дни до края,,6 март
2237,до края на годината Събития,1521,,г Фернандо Магелан открива островите,,6 март
2238,на годината Събития 1521 г,Фернандо Магелан,,открива островите Гуам и Рота,,6 март
2239,1521 г Фернандо Магелан открива,остров,,те Гуам и Рота 1810,,6 март
2240,г Фернандо Магелан открива островите,Гуам,,и Рота 1810 г Илинойс,,6 март
2241,Магелан открива островите Гуам и,Рота,,1810 г Илинойс става първият,,6 март
2242,открива островите Гуам и Рота,1810,,г Илинойс става първият щат,,6 март
2243,Гуам и Рота 1810 г,Илинойс,,става първият щат на САЩ,,6 март
2244,1810 г Илинойс става първият,щат,,на САЩ в който е,,6 март
2245,Илинойс става първият щат на,САЩ,,в който е въведена задължителна,,6 март
2246,в който е въведена задължителна,ваксина,,ия на населението 1834 г,,6 март
2247,въведена задължителна ваксинация на населението,1834,,г В Канада град Йорк,,6 март
2248,на населението 1834 г В,Канада,,град Йорк е преименуван на,,6 март
2249,град Йорк е преименуван на,Торонто,,1837 г Руският император Николай,,6 март
2250,Йорк е преименуван на Торонто,1837,,г Руският император Николай I,,6 март
2251,на Торонто 1837 г Руският,император,,Николай I възстановява имотите на,,6 март
2252,Торонто 1837 г Руският император,Николай I (Русия),Николай I,възстановява имотите на Зографския манастир,,6 март
2253,Николай I възстановява имотите на,Зографски манастир,Зографския манастир,в Бесарабия и дава компенсация,,6 март
2254,имотите на Зографския манастир в,Бесарабия,,и дава компенсация от руското,,6 март
2255,ият ден в годината според,Григориански календар,григорианския календар,67 и през високосна Остават,,7 март
2256,григорианския календар 67 и през,високосна година,високосна,Остават 299 дни до края,,7 март
2257,до края на годината Събития,161,,г Римският император Антонин Пий,,7 март
2258,на годината Събития 161 г,Древен Рим,Римският,император Антонин Пий умира и,,7 март
2259,годината Събития 161 г Римският,император,,Антонин Пий умира и е,,7 март
2260,Събития 161 г Римският император,Антонин Пий,,умира и е наследен едновременно,,7 март
2261,и е наследен едновременно от,Марк Аврелий,,и Луций Вер което е,,7 март
2262,едновременно от Марк Аврелий и,Луций Вер,,което е прецедент дотогава в,,7 март
2263,което е прецедент дотогава в,Римската империя,,321 г Император Константин I,,7 март
2264,прецедент дотогава в Римската империя,321,,г Император Константин I Велики,,7 март
2265,издава декрет че денят на,Sol Invictus,,неделя е ден за почивка,,7 март
2266,ден за почивка в Империята,1530,,г Папата отказва да узакони,,7 март
2267,почивка в Империята 1530 г,Папа,,а отказва да узакони развода,,7 март
2268,г Папата отказва да узакони,развод,,на английския крал Хенри VIII,,7 март
2269,отказва да узакони развода на,Англия,английския,крал Хенри VIII с Катерина,,7 март
2270,узакони развода на английския крал,Хенри VIII,,с Катерина Арагонска и да,,7 март
2271,английския крал Хенри VIII с,Катерина Арагонска,,и да признае брака му,,7 март
2272,да признае брака му с,Ан Болейн,,което става формален повод за,,7 март
2273,формален повод за създаването на,англиканство,англиканската църква,1798 г Френската армия влиза,,7 март
2274,за създаването на англиканската църква,1798,,г Френската армия влиза в,,7 март
2275,ият ден в годината според,Григориански календар,григорианския календар,68 и през високосна година,,8 март
2276,григорианския календар 68 и през,високосна година,,Остават 298 дни до края,,8 март
2277,до края на годината Събития,1169,,г Киев е превзет и,,8 март
2278,на годината Събития 1169 г,Киев,,е превзет и опустошен от,,8 март
2279,е превзет и опустошен от,Андрей I Боголюбски,,княз на Владимирско Суздалското княжество,,8 март
2280,Андрей I Боголюбски княз на,Владимирско-Суздалско княжество,Владимирско-Суздалското княжество,1722 г По заповед на,,8 март
2281,княз на Владимирско Суздалското княжество,1722,,г По заповед на Петър,,8 март
2282,1722 г По заповед на,Петър I (Русия),Петър I,в Петербург започват системно да,,8 март
2283,заповед на Петър I в,Петербург,,започват системно да наблюдават атмосферните,,8 март
2284,Петербург започват системно да наблюдават,метеорология,атмосферните условия,1752 г Парижкият парламент забранява,,8 март
2285,системно да наблюдават атмосферните условия,1752,,г Парижкият парламент забранява Енциклопедията,,8 март
2286,наблюдават атмосферните условия 1752 г,Парижки парламент,Парижкият парламент,забранява Енциклопедията на Дени Дидро,,8 март
2287,1752 г Парижкият парламент забранява,"Енциклопедия или Тълковен речник на науките, изкуствата и занаятите",Енциклопедията,на Дени Дидро 1802 г,,8 март
2288,Парижкият парламент забранява Енциклопедията на,Дени Дидро,,1802 г Германският астроном любител,,8 март
2289,забранява Енциклопедията на Дени Дидро,1802,,г Германският астроном любител Хенрих,,8 март
2290,1802 г Германският астроном любител,Хенрих Олберс,,открива малката планета Церера 1857,,8 март
2291,Хенрих Олберс открива малката планета,1 Церера,Церера,1857 г Международен ден на,,8 март
2292,Олберс открива малката планета Церера,1857,,г Международен ден на жената,,8 март
2293,малката планета Церера 1857 г,Международен ден на жената,,Жените от шивашки и текстилни,,8 март
2294,шивашки и текстилни предприятия в,Ню Йорк,,излизат на протест против лошите,,8 март
2295,ият ден в годината според,Григориански календар,григорианския календар,69 и през високосна година,,9 март
2296,григорианския календар 69 и през,високосна година,,Остават 297 дни до края,,9 март
2297,до края на годината Събития,1074,,г Папа Григорий VII отлъчва,,9 март
2298,на годината Събития 1074 г,Папа,,Григорий VII отлъчва от църквата,,9 март
2299,годината Събития 1074 г Папа,Григорий VII,,отлъчва от църквата всички женени,,9 март
2300,свещеници с което окончателно утвърждава,целибат,,в католическата църква 1230 г,,9 март
2301,утвърждава целибата в католическата църква,1230,,г В Битката при Клокотница,,9 март
2302,католическата църква 1230 г В,Битката при Клокотница,,българският цар Иван Асен II,,9 март
2303,Битката при Клокотница българският цар,Иван Асен II,,разбива войските на епирския деспот,,9 март
2304,Асен II разбива войските на,Епирско деспотство,епирския деспот,Теодор Комнин 1497 г Николай,,9 март
2305,разбива войските на епирския деспот,Теодор Комнин,,1497 г Николай Коперник извършва,,9 март
2306,на епирския деспот Теодор Комнин,1497,,г Николай Коперник извършва и,,9 март
2307,деспот Теодор Комнин 1497 г,Николай Коперник,,извършва и описва първите си,,9 март
2308,описва първите си астрономически наблюдения,1500,,г От Португалия за Америка,,9 март
2309,астрономически наблюдения 1500 г От,Португалия,,за Америка потегля експедицията на,,9 март
2310,1500 г От Португалия за,Америка,,потегля експедицията на Бартоломео Диаш,,9 март
2311,за Америка потегля експедицията на,Бартоломео Диаш,,и Педро Кабрала която открива,,9 март
2312,експедицията на Бартоломео Диаш и,Педро Кабрала,,която открива Бразилия 1831 г,,9 март
2313,и Педро Кабрала която открива,Бразилия,,1831 г В Алжир е,,9 март
2314,Педро Кабрала която открива Бразилия,1831,,г В Алжир е създаден,,9 март
2315,ият ден в годината според,Григориански календар,григорианския календар,70 и през високосна година,,10 март
2316,григорианския календар 70 и през,високосна година,,Остават 296 дни до края,,10 март
2317,до края на годината Събития,241 г. пр.н.е.,,Решителната победа на римляните над,,10 март
2318,н е Решителната победа на,Римска република,римляните,над картагенците в Битката при,,10 март
2319,Решителната победа на римляните над,картаген,,ите в Битката при Егадските,,10 март
2320,на римляните над картагенците в,Битката при Егадските острови,,слага край на 23 годишната,,10 март
2321,слага край на 23 годишната,Първа пуническа война,,1535 г Докато плава към,,10 март
2322,23 годишната Първа пуническа война,1535,,г Докато плава към Перу,,10 март
2323,1535 г Докато плава към,Перу,,испанският свещеник и пътешественик Фрай,,10 март
2324,Перу испанският свещеник и пътешественик,Фрай Томас де Берланга,,открива архипелага Галапагос 1629 г,,10 март
2325,Фрай Томас де Берланга открива,архипелаг,,Галапагос 1629 г Кралят на,,10 март
2326,Томас де Берланга открива архипелага,Галапагос,,1629 г Кралят на Англия,,10 март
2327,де Берланга открива архипелага Галапагос,1629,,г Кралят на Англия Чарлз,,10 март
2328,открива архипелага Галапагос 1629 г,Крал на Англия,Кралят на Англия,Чарлз I разпуска парламента и,,10 март
2329,1629 г Кралят на Англия,Чарлз I,,разпуска парламента и установява 11,,10 март
2330,на Англия Чарлз I разпуска,парламент,,и установява 11 годишна кралска,,10 март
2331,и установява 11 годишна кралска,диктатура,,1770 г Джеймс Кук открива,,10 март
2332,установява 11 годишна кралска диктатура,1770,,г Джеймс Кук открива остров,,10 март
2333,годишна кралска диктатура 1770 г,Джеймс Кук,,открива остров Стюарт южно от,,10 март
2334,г Джеймс Кук открива остров,Стюарт (остров),Стюарт,южно от Нова Зеландия 1848,,10 март
2335,ият ден в годината според,Григориански календар,григорианския календар,71 ви през високосна Остават,,11 март
2336,григорианския календар 71 ви през,високосна година,високосна,Остават 295 дни до края,,11 март
2337,до края на годината Събития,1502,,г Исмаил I Сефевид става,,11 март
2338,на годината Събития 1502 г,Исмаил I Сефевид,,става шах на Персия 1542,,11 март
2339,г Исмаил I Сефевид става,Шах (титла),шах,на Персия 1542 г Испанският,,11 март
2340,I Сефевид става шах на,Персия,,1542 г Испанският конкистадор Алваро,,11 март
2341,Сефевид става шах на Персия,1542,,г Испанският конкистадор Алваро де,,11 март
2342,на Персия 1542 г Испанският,конкистадор,,Алваро де Вака достига град,,11 март
2343,Персия 1542 г Испанският конкистадор,Алваро де Вака,,достига град Асунсион 1669 г,,11 март
2344,Алваро де Вака достига град,Асунсион,,1669 г Започва най силното,,11 март
2345,де Вака достига град Асунсион,1669,,г Започва най силното 4,,11 март
2346,силното 4 месечно изригване на,вулкан,,Етна Италия загиват 20 000,,11 март
2347,4 месечно изригване на вулкана,Етна,,Италия загиват 20 000 души,,11 март
2348,месечно изригване на вулкана Етна,Италия,,загиват 20 000 души 1702,,11 март
2349,Италия загиват 20 000 души,1702,,г Излиза първият брой на,,11 март
2350,английския Дейли кърънт първият ежедневен,вестник,,в света 1780 г Руската,,11 март
2351,първият ежедневен вестник в света,1780,,г Руската императрица Екатерина II,,11 март
2352,света 1780 г Руската императрица,Екатерина II,,обявява неутралитет във войната между,,11 март
2353,Руската императрица Екатерина II обявява,неутралитет,,във войната между Англия и,,11 март
2354,Екатерина II обявява неутралитет във,война,,а между Англия и САЩ,,11 март
2355,вият ден в годината според,Григориански календар,григорианския календар,72 ри през високосна година,,12 март
2356,григорианския календар 72 ри през,високосна година,,Остават 294 дни до края,,12 март
2357,до края на годината Събития,1860,,г За пръв път е,,12 март
2358,е отслужена църковна служба на,български език,,1872 г Иларион Ловчански е,,12 март
2359,църковна служба на български език,1872,,г Иларион Ловчански е избран,,12 март
2360,на български език 1872 г,Иларион Ловчански,,е избран за български екзарх,,12 март
2361,Ловчански е избран за български,екзарх,,1894 г Започва продажба на,,12 март
2362,е избран за български екзарх,1894,,г Започва продажба на Coca,,12 март
2363,1894 г Започва продажба на,Coca-Cola,,в бутилки 1907 г При,,12 март
2364,продажба на Coca Cola в,бутилка,бутилки,1907 г При експлозията на,,12 март
2365,на Coca Cola в бутилки,1907,,г При експлозията на френския,,12 март
2366,г При експлозията на френския,броненосец,,Йена загиват 118 души 1912,,12 март
2367,броненосец Йена загиват 118 души,1912,,г Основан е футболен клуб,,12 март
2368,г Основан е футболен клуб,ПФК Ботев (Пловдив),Ботев (Пловдив),1933 г В Германия е,,12 март
2369,е футболен клуб Ботев Пловдив,1933,,г В Германия е свалено,,12 март
2370,Ботев Пловдив 1933 г В,Германия,,е свалено знамето на републиката,,12 март
2371,Германия е свалено знамето на,република,,а и е издигнато знамето,,12 март
2372,и е издигнато знамето със,свастика,,а на Националсоциалистическата партия 1935,,12 март
2373,издигнато знамето със свастиката на,Нацистка партия,Националсоциалистическата партия,1935 г Персия се преименува,,12 март
2374,със свастиката на Националсоциалистическата партия,1935,,г Персия се преименува на,,12 март
2375,рият ден в годината според,Григориански календар,григорианския календар,73 ти през високосна година,,13 март
2376,григорианския календар 73 ти през,високосна година,,Остават 293 дни до края,,13 март
2377,до края на годината Събития,1516,,г Карл V Хабсбург е,,13 март
2378,на годината Събития 1516 г,Карл V Хабсбург,,е провъзгласен за първи крал,,13 март
2379,провъзгласен за първи крал на,Испания,,1519 г Испанският конкистадор Ернан,,13 март
2380,за първи крал на Испания,1519,,г Испанският конкистадор Ернан Кортес,,13 март
2381,на Испания 1519 г Испанският,конкистадор,,Ернан Кортес слиза на мексиканския,,13 март
2382,Испания 1519 г Испанският конкистадор,Ернан Кортес,,слиза на мексиканския бряг и,,13 март
2383,започва поход срещу кралството на,ацтеки,,е 1639 г Кеймбриджкият колеж,,13 март
2384,поход срещу кралството на ацтеките,1639,,г Кеймбриджкият колеж в САЩ,,13 март
2385,1639 г Кеймбриджкият колеж в,САЩ,,е преименуван на Харвардски университет,,13 март
2386,в САЩ е преименуван на,Харвардски университет,,1781 г Сър Уилям Хершел,,13 март
2387,е преименуван на Харвардски университет,1781,,г Сър Уилям Хершел открива,,13 март
2388,Харвардски университет 1781 г Сър,Уилям Хершел,,открива планетата Уран 1809 г,,13 март
2389,Сър Уилям Хершел открива планетата,Уран (планета),Уран,1809 г Сър Джордж Гордън,,13 март
2390,Уилям Хершел открива планетата Уран,1809,,г Сър Джордж Гордън влиза,,13 март
2391,планетата Уран 1809 г Сър,Джордж Гордън,,влиза в британската Палата на,,13 март
2392,Палата на лордовете с името,лорд Байрон,,1848 г Канцлерът на Австрия,,13 март
2393,лордовете с името лорд Байрон,1848,,г Канцлерът на Австрия Клеменс,,13 март
2394,1848 г Канцлерът на Австрия,Клеменс фон Метерних,,напуска поста си след близо,,13 март
2395,тият ден в годината според,Григориански календар,григорианския календар,74 ти през високосна година,,14 март
2396,григорианския календар 74 ти през,високосна година,,Остават 292 дни до края,,14 март
2397,до края на годината Събития,1492,,г Испанската кралица Изабела заповядва,,14 март
2398,да бъдат експулсирани 150 000,евреи,,в случай че не приемат,,14 март
2399,в случай че не приемат,християнство,,о 1697 г Последният свободен,,14 март
2400,случай че не приемат християнството,1697,,г Последният свободен град на,,14 март
2401,г Последният свободен град на,маи,,е Тайясил е завладян от,,14 март
2402,Последният свободен град на маите,Тайясил,,е завладян от испанския конкистадор,,14 март
2403,Тайясил е завладян от испанския,конкистадор,,Мартин де Урсуа 1800 г,,14 март
2404,е завладян от испанския конкистадор,Мартин де Урсуа,,1800 г Пий VII е,,14 март
2405,испанския конкистадор Мартин де Урсуа,1800,,г Пий VII е избран,,14 март
2406,Мартин де Урсуа 1800 г,Пий VII,,е избран за римски папа,,14 март
2407,VII е избран за римски,папа,,1897 г В България е,,14 март
2408,е избран за римски папа,1897,,г В България е обнародван,,14 март
2409,римски папа 1897 г В,България,,е обнародван Закон за задължително,,14 март
2410,местно производство от държавните чиновници,1909,,г Дадена е амнистия на,,14 март
2411,чиновници 1909 г Дадена е,амнистия,,на отклонилите се от военна,,14 март
2412,амнистия на отклонилите се от,военна служба,,до обявяването на Независимостта на,,14 март
2413,военна служба до обявяването на,Независимост на България,Независимостта на България,на 22 септември 1908 1927,,14 март
